id,kind,sp_mean,sp_std,sp_p50,sp_p90,sp_p99,hz_mean,vt_mean,idle_frac,rev_frac,turn_mean,turn_std,straight_w,y_mean,y_std,y_range,ext_x,ext_z,radius_mean,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11
car25,car,0.0792327,0.00675943,0.0780256,0.0825409,0.093,0.078209,0.0092377,0,0,0,0,0.999681,34.5234,39.4489,120.656,0,1799.92,797.226,0.0000344887,0.00027591,0.00872564,0.989998,0.000206932,0.0000344887,0.000310398,0.000103466,0.0000689774,0.0000344887,0,0.000206932
car26,car,0.0891254,0.0140072,0.0851469,0.0935201,0.139345,0.0854834,0.0181799,0,0,0,0,0.999582,104.91,75.5382,229.603,1799.93,0,693.09,0,0.000241429,0.000758778,0.907395,0.0405256,0.0503208,0.000241429,0.0000689798,0.0000689798,0.00010347,0.0000344899,0.000241429
car27,car,0.0835647,0.0114666,0.0782624,0.0978008,0.111732,0.0782743,0.0184925,0,0,0,0,0.998838,55.2098,56.3754,166.14,0,1799.92,498.756,0.0000344887,0.00027591,0.00758752,0.910157,0.0811519,0.0000344887,0.000241421,0.000206932,0.0000689774,0.0000344887,0,0.000206932
car28,car,0.0570677,0.0054259,0.0554437,0.0626498,0.0686222,0.0552316,0.0116891,0,0,0,0,0.99974,181.366,44.9163,174.708,0,1799.95,833.789,0.000137955,0.00103466,0.997931,0.000137955,0.000344887,0.000137955,0.0000689774,0,0.0000344887,0,0.0000344887,0.000137955
car29,car,0.0909666,0.00797253,0.089202,0.0956347,0.108467,0.0898616,0.01074,0,0,0,0,0.999578,97.9835,12.0939,53.489,1799.9,0,1008.66,0.0000344887,0.000241421,0.000655285,0.921331,0.0769098,0.0000689774,0.0000344887,0.000310398,0.0000689774,0.000103466,0.0000344887,0.000206932
car30,car,0.0668744,0.0100356,0.0640703,0.06772,0.109604,0.0651748,0.00686853,0,0,0,0,0.999584,29.8943,45.6533,136.701,0,1799.93,501.257,0.0000689774,0.000655285,0.920262,0.0391102,0.0391792,0.000310398,0.000172444,0.0000344887,0,0,0.0000344887,0.000172444
car31,car,0.0670414,0.00710403,0.0650077,0.075,0.0864523,0.0656275,0.00669271,0,0,0,0,0.999655,37.4627,46.6379,118.07,0,1799.94,482.471,0.0000689774,0.000655285,0.89881,0.0997068,0.0000344887,0.000310398,0.000137955,0.0000689774,0,0,0.0000344887,0.000172444
car32,car,0.0503386,0.00449294,0.0490306,0.054,0.06,0.0495466,0.00533457,0,0,0,0,0.999561,41.6789,49.5138,163.198,0,1799.95,463.328,0.000241421,0.66139,0.337575,0.00027591,0.000206932,0.000103466,0,0.0000344887,0,0.0000344887,0,0.000137955
car33,car,0.0583493,0.00977306,0.0554437,0.0660303,0.101533,0.0561211,0.00741314,0,0,0,0,0.9997,44.2714,69.5123,186.929,1799.94,0,503.836,0.000103466,0.00106915,0.945163,0.042766,0.0104846,0.0000689774,0.0000689774,0,0.0000689774,0.0000344887,0.0000344887,0.000137955
car34,car,0.0856099,0.00794012,0.0831865,0.0925743,0.103446,0.0831737,0.0159757,0,0,0,0,0.999712,177.066,41.3657,129.102,0,1799.93,1068.39,0.0000344899,0.000241429,0.000862247,0.962992,0.0350417,0.00010347,0.000241429,0.00010347,0.00010347,0.0000689798,0,0.000206939
